filename	lat	lon	Rrs_412	Rrs_443	Rrs_490	Rrs_510	Rrs_555	Rrs_670
S1997284110316.L2_MLAC.hdf	39.29	25.11	0.0120876	0.0124167	0.0117387	0.0105793	0.0091096	0.0066549
S2000053153433.L2_MLAC.hdf	-61.45	-62.299	0.0105251	0.0106362	0.00961355	0.0079127	0.0062244	0.004794
S2001050135427.L2_MLAC.hdf	-61.29	-56.29	0.00444289	0.00438667	0.00424045	0.0036856	0.0026462	0.0011773
S2002022133012.L2_MLAC.hdf	-60.999	-56.498	0.00586911	0.00586578	0.00553467	0.0046431	0.0033262	0.0017469
S1997270134451.L2_MLAC.hdf	24.1392	-20.9995	0.009464	0.008968	0.00771911	0.0059736	0.0041613	0.0025167
S1998136095637.L2_MLAC.hdf	-32.3397	17.8766	0.00152778	0.00190156	0.00235356	0.0025071	0.0026013	0.0013307
S1998136095637.L2_MLAC.hdf	-32.3447	17.8735	0.00155045	0.00193311	0.00239422	0.0025407	0.00264	0.0013553
S1998143101309.L2_MLAC.hdf	-21.5262	12.2091	0.00593422	0.00614045	0.00634489	0.0062069	0.0060596	0.004332
S1998146104833.L2_MLAC.hdf	-14.7427	7.8597	0.00706778	0.00764845	0.00792289	0.0073989	0.0066131	0.0046
S1998150120847.L2_MLAC.hdf	-2.8045	-6.18095	0.0105464	0.0110098	0.0111398	0.0102507	0.0094027	0.0077011
S1998160130056.L2_MLAC.hdf	32.6523	-17.1665	0.00904289	0.00834022	0.00684911	0.004986	0.0034176	0.0016027
S1998162125135.L2_MLAC.hdf	41.3173	-17.2009	0.00751511	0.00755378	0.00750489	0.0061162	0.0045451	0.0026687
S1998106135714.L2_GAC	-7.8605	-29.4791	0.0108516	0.00903	0.00687378	0.004634	0.0030882	0.0017467
S1998114131925.L2_MLAC.hdf	23.7107	-21.4715	0.00872756	0.009084	0.00905333	0.0077924	0.0066282	0.0051553
S1998266130641.L2_MLAC.hdf	36.0954	-17.4967	0.0133926	0.0122197	0.00983743	0.0078774	0.006382	0.004914
S1998287135825.L2_MLAC.hdf	-32.7506	-46.675	0.00736356	0.00723578	0.00637845	0.0047633	0.0033198	0.0019053
